,sepal.length,sepal.width,petal.length,petal.width,variety
0,1,2,1,1,Setosa
1,1,2,1,1,Setosa
2,1,2,1,1,Setosa
3,1,2,1,1,Setosa
4,1,2,1,1,Setosa
5,1,3,1,1,Setosa
6,1,2,1,1,Setosa
7,1,2,1,1,Setosa
8,1,2,1,1,Setosa
9,1,2,1,1,Setosa
10,1,3,1,1,Setosa
11,1,2,1,1,Setosa
12,1,2,1,1,Setosa
13,1,2,1,1,Setosa
14,2,3,1,1,Setosa
15,2,3,1,1,Setosa
16,1,3,1,1,Setosa
17,1,2,1,1,Setosa
18,2,3,1,1,Setosa
19,1,3,1,1,Setosa
20,1,2,1,1,Setosa
21,1,3,1,1,Setosa
22,1,2,1,1,Setosa
23,1,2,1,1,Setosa
24,1,2,1,1,Setosa
25,1,2,1,1,Setosa
26,1,2,1,1,Setosa
27,1,2,1,1,Setosa
28,1,2,1,1,Setosa
29,1,2,1,1,Setosa
30,1,2,1,1,Setosa
31,1,2,1,1,Setosa
32,1,3,1,1,Setosa
33,1,3,1,1,Setosa
34,1,2,1,1,Setosa
35,1,2,1,1,Setosa
36,1,2,1,1,Setosa
37,1,2,1,1,Setosa
38,1,2,1,1,Setosa
39,1,2,1,1,Setosa
40,1,2,1,1,Setosa
41,1,1,1,1,Setosa
42,1,2,1,1,Setosa
43,1,2,1,1,Setosa
44,1,3,1,1,Setosa
45,1,2,1,1,Setosa
46,1,3,1,1,Setosa
47,1,2,1,1,Setosa
48,1,3,1,1,Setosa
49,1,2,1,1,Setosa
50,3,2,2,2,Versicolor
51,2,2,2,2,Versicolor
52,3,2,2,2,Versicolor
53,1,1,2,2,Versicolor
54,2,1,2,2,Versicolor
55,2,1,2,2,Versicolor
56,2,2,2,2,Versicolor
57,1,1,2,2,Versicolor
58,2,2,2,2,Versicolor
59,1,1,2,2,Versicolor
60,1,1,2,2,Versicolor
61,2,2,2,2,Versicolor
62,2,1,2,2,Versicolor
63,2,2,2,2,Versicolor
64,2,2,2,2,Versicolor
65,2,2,2,2,Versicolor
66,2,2,2,2,Versicolor
67,2,1,2,2,Versicolor
68,2,1,2,2,Versicolor
69,2,1,2,2,Versicolor
70,2,2,2,3,Versicolor
71,2,1,2,2,Versicolor
72,2,1,2,2,Versicolor
73,2,1,2,2,Versicolor
74,2,2,2,2,Versicolor
75,2,2,2,2,Versicolor
76,3,1,2,2,Versicolor
77,2,2,3,2,Versicolor
78,2,2,2,2,Versicolor
79,2,1,2,2,Versicolor
80,1,1,2,2,Versicolor
81,1,1,2,2,Versicolor
82,2,1,2,2,Versicolor
83,2,1,3,2,Versicolor
84,1,2,2,2,Versicolor
85,2,2,2,2,Versicolor
86,2,2,2,2,Versicolor
87,2,1,2,2,Versicolor
88,2,2,2,2,Versicolor
89,1,1,2,2,Versicolor
90,1,1,2,2,Versicolor
91,2,2,2,2,Versicolor
92,2,1,2,2,Versicolor
93,1,1,2,2,Versicolor
94,2,1,2,2,Versicolor
95,2,2,2,2,Versicolor
96,2,2,2,2,Versicolor
97,2,2,2,2,Versicolor
98,1,1,2,2,Versicolor
99,2,1,2,2,Versicolor
100,2,2,3,3,Virginica
101,2,1,3,3,Virginica
102,3,2,3,3,Virginica
103,2,2,3,3,Virginica
104,2,2,3,3,Virginica
105,3,2,3,3,Virginica
106,1,1,2,2,Virginica
107,3,2,3,3,Virginica
108,2,1,3,3,Virginica
109,3,2,3,3,Virginica
110,2,2,3,3,Virginica
111,2,1,3,3,Virginica
112,3,2,3,3,Virginica
113,2,1,3,3,Virginica
114,2,1,3,3,Virginica
115,2,2,3,3,Virginica
116,2,2,3,3,Virginica
117,3,3,3,3,Virginica
118,3,1,3,3,Virginica
119,2,1,3,2,Virginica
120,3,2,3,3,Virginica
121,2,1,2,3,Virginica
122,3,1,3,3,Virginica
123,2,1,2,3,Virginica
124,2,2,3,3,Virginica
125,3,2,3,3,Virginica
126,2,1,2,3,Virginica
127,2,2,2,3,Virginica
128,2,1,3,3,Virginica
129,3,2,3,2,Virginica
130,3,1,3,3,Virginica
131,3,3,3,3,Virginica
132,2,1,3,3,Virginica
133,2,1,3,2,Virginica
134,2,1,3,2,Virginica
135,3,2,3,3,Virginica
136,2,2,3,3,Virginica
137,2,2,3,3,Virginica
138,2,2,2,3,Virginica
139,3,2,3,3,Virginica
140,2,2,3,3,Virginica
141,3,2,3,3,Virginica
142,2,1,3,3,Virginica
143,3,2,3,3,Virginica
144,2,2,3,3,Virginica
145,2,2,3,3,Virginica
146,2,1,3,3,Virginica
147,2,2,3,3,Virginica
148,2,2,3,3,Virginica
149,2,2,3,3,Virginica
